date,value,log_return,norm
1993-02-28,24.57241821,,-0.9435840205941197
1993-03-31,25.12283516,0.0221525969454878,-0.9398830676563479
1993-04-30,24.47997856,-0.0259216180541956,-0.9442055762969992
1993-05-31,25.14021301,0.0266130942509295,-0.9397662205915733
1993-06-30,25.23088837,0.0036002968154877,-0.9391565278123529
1993-07-31,25.10841179,-0.0048660518236056,-0.9399800490693914
1993-08-31,26.07075691,0.0376113402096534,-0.9335093290106898
1993-09-30,25.88108444,-0.0073018898968926,-0.9347846692505951
1993-10-31,26.39165306,0.0195354168073578,-0.9313516528180105
1993-11-30,26.1099472,-0.010731427694397,-0.9332458171059281
1993-12-31,26.43048477,0.012201709609918,-0.9310905519721823
1994-01-31,27.3522644,0.0342812487542518,-0.9248925905365348
1994-02-28,26.5545826,-0.0295969834290898,-0.930256129579286
1994-03-31,25.44191742,-0.0428042295156183,-0.9377375878931649
1994-04-30,25.72716904,0.0111494886746523,-0.9358195822411893
1994-05-31,26.13723946,0.0158135020621119,-0.9330623064603614
1994-06-30,25.53832817,-0.023180707469228,-0.9370893308791953
1994-07-31,26.36387634,0.0318143635101657,-0.9315384209280508
1994-08-31,27.36890411,0.0374127297339019,-0.9247807066572173
1994-09-30,26.67769814,-0.0255795417126591,-0.929428312013987
1994-10-31,27.4360466,0.0280297774202678,-0.924329246731038
1994-11-30,26.34366989,-0.0406297038854424,-0.9316742872390165
1994-12-31,26.53550911,0.00725578820493,-0.9303843779714351
1995-01-31,27.42730522,0.0330552555992746,-0.9243880229660199
1995-02-28,28.54660606,0.0399989939250704,-0.9168619470847295
1995-03-31,29.34155655,0.0274667714770711,-0.911516773119159
1995-04-30,30.21075058,0.0291930170505039,-0.9056723924204503
1995-05-31,31.40928841,0.038905817901587,-0.8976135343075795
1995-06-30,32.04468918,0.0200278070171,-0.8933411579819703
1995-07-31,33.07541275,0.0316587237130114,-0.8864106675157483
1995-08-31,33.22266388,0.0044421008758623,-0.8854205644635734
1995-09-30,34.63053894,0.0415036310871217,-0.8759541420735605
1995-10-31,34.52872467,-0.0029443443506815,-0.8766387318589289
1995-11-30,36.0646019,0.0435202507424641,-0.8663116346530285
1995-12-31,36.63200378,0.0156104510514292,-0.8624964766084167
1996-01-31,37.93529129,0.0349595688781665,-0.8537332912833719
1996-02-29,38.05632019,0.0031853253267244,-0.8529195040934784
1996-03-31,38.71157837,0.0170715652287101,-0.8485136083697549
1996-04-30,39.13235092,0.0108107761749662,-0.8456843724513186
1996-05-31,40.02064514,0.022445935313609,-0.8397115638321169
1996-06-30,40.37371826,0.008783585691122,-0.8373375326531856
1996-07-31,38.55948639,-0.0459768852643311,-0.8495362608520096
1996-08-31,39.30210114,0.0190758316759724,-0.8445429875877231
1996-09-30,41.49801254,0.0543675539192536,-0.8297778813406924
1996-10-31,42.83969498,0.0318195900854232,-0.8207565320383594
1996-11-30,45.96717072,0.0704623361254159,-0.7997276728657576
1996-12-31,44.87326431,-0.0240852939665643,-0.8070829989358158
1997-01-31,47.64580154,0.0599523480982888,-0.788440713652904
1997-02-28,48.1015625,0.0095201451615776,-0.7853762188842861
1997-03-31,45.97921753,-0.0451251594177133,-0.7996466712235294
1997-04-30,48.85765076,0.0607214820518922,-0.7802923509782165
1997-05-31,51.94580841,0.0612900455824387,-0.7595278630258199
1997-06-30,54.08091736,0.0402803654003793,-0.7451715868592423
1997-07-31,58.36754608,0.0762786229490015,-0.7163486896820735
1997-08-31,55.34392548,-0.053193111851109,-0.7366792364471709
1997-09-30,58.00545502,0.046970152486284,-0.7187833566599853
1997-10-31,56.58409882,-0.0248090520305162,-0.7283404249951994
1997-11-30,58.77371979,0.0379668064868914,-0.7136176150208188
1997-12-31,59.89466858,0.018892683168814,-0.7060804584753269
1998-01-31,60.66598129,0.0127956051093311,-0.7008942227679869
1998-02-28,64.86978912,0.0669989154830821,-0.6726282056363079
1998-03-31,68.03440094,0.0476314570198797,-0.6513496468780133
1998-04-30,68.90461731,0.0127097170029086,-0.6454983920591917
1998-05-31,67.47353363,-0.0209877638141406,-0.6551208670750741
1998-06-30,70.34614563,0.0416925669542962,-0.6358056882447739
1998-07-31,69.39554596,-0.0136053073708506,-0.6421974329781643
1998-08-31,59.5982399,-0.1521966444464269,-0.7080736176505408
1998-09-30,63.3910675,0.0616969185938591,-0.6825709937784348
1998-10-31,68.53089142,0.077961652897077,-0.6480112905637105
1998-11-30,72.34679413,0.0541865282751787,-0.622353511774693
1998-12-31,77.07987976,0.0633711420850717,-0.5905286794052068
1999-01-31,79.79508972,0.0346196866245227,-0.5722718574121174
1999-02-28,77.23617554,-0.0325940278796812,-0.5894777609584687
1999-03-31,80.43896484,0.040630753747556,-0.5679425003366819
1999-04-30,83.49362946,0.0372716389544471,-0.5474032164369101
1999-05-31,81.58451843,-0.0231308162066428,-0.560239903379438
1999-06-30,86.10244751,0.0538983185469321,-0.5298617638594422
1999-07-31,83.43144989,-0.0315125021104618,-0.547821306145559
1999-08-31,82.99936676,-0.0051923569139908,-0.550726593363431
1999-09-30,81.14535522,-0.0225909230159775,-0.5631927964039184
1999-10-31,86.3449707,0.0621085043462663,-0.5282310602401074
1999-11-30,87.78277588,0.0165147472086752,-0.51856339047655
1999-12-31,92.79603577,0.0555386139751581,-0.48485469215665106
2000-01-31,88.17596436,-0.0510695079348444,-0.5159196273072763
2000-02-29,86.83332062,-0.0153439868346287,-0.5249474403023773
2000-03-31,95.24875641,0.092501531744034,-0.46836282420428976
2000-04-30,91.90356445,-0.0357521430684784,-0.49085558721199235
2000-05-31,90.45863342,-0.0158471578631456,-0.5005711705354277
2000-06-30,92.23899078,0.019490277733742,-0.48860021142565535
2000-07-31,90.79061127,-0.0158270545097494,-0.49833898201137755
2000-08-31,96.72299957,0.0632953385985954,-0.45845014881521984
2000-09-30,91.41652679,-0.0564249383637651,-0.4941303836342001
2000-10-31,90.98888397,-0.0046889355061887,-0.4970058146161057
2000-11-30,84.19630432,-0.077586316281045,-0.5426784953188281
2000-12-31,83.75628662,-0.0052397965911428,-0.5456371338554621
2001-01-31,87.48000336,0.0434990022099368,-0.5205992050483407
2001-02-28,79.13550568,-0.1002485893596363,-0.576706839820536
2001-03-31,74.70096588,-0.0576686226820495,-0.6065242774929693
2001-04-30,81.08343506,0.0819856648155967,-0.5636091418635909
2001-05-31,80.62889099,-0.0056216526987276,-0.5666654543757932
2001-06-30,78.7075882,-0.024117464203365,-0.579584117591015
2001-07-31,77.90504456,-0.0102488624413181,-0.5849803471986753
2001-08-31,73.28277588,-0.0611651075409023,-0.6160600565906489
2001-09-30,67.30067444,-0.0851553421097444,-0.6562831563669489
2001-10-31,68.17704773,0.0129377066603408,-0.6503905029844355
2001-11-30,73.49333954,0.0750868189517453,-0.6146442459110087
2001-12-31,73.90774536,0.0056228475131785,-0.6118578192994032
2002-01-31,73.18353271,-0.0098471984413066,-0.6167273585361382
2002-02-28,71.87094116,-0.0180984059755706,-0.6255531033702442
2002-03-31,74.26211548,0.032728909114021,-0.6094750672117857
2002-04-30,69.94335938,-0.0599151730244811,-0.6385139859366084
2002-05-31,69.52832794,-0.0059514970101774,-0.6413046191595417
2002-06-30,64.3966217,-0.0766730921251479,-0.6758097398407085
2002-07-31,59.32090759,-0.0820993566082579,-0.7099383745905906
2002-08-31,59.72434998,0.0067779925515019,-0.7072256650737558
2002-09-30,53.46211243,-0.1107665854567017,-0.7493323742833782
2002-10-31,57.86119843,0.0790737877692375,-0.7197533247006741
2002-11-30,61.43013763,0.0598535436940146,-0.695756105834197
2002-12-31,57.95505524,-0.0582327551160331,-0.7191222401443221
2003-01-31,56.52965546,-0.0249024246418478,-0.7287064971394787
2003-02-28,55.76769638,-0.013570592023278,-0.7338298398991592
2003-03-31,55.88700485,0.0021370979294976,-0.7330276207223195
2003-04-30,60.61571884,0.081222364481075,-0.7012321828580369
2003-05-31,63.9396553,0.0533855063865997,-0.6788823398769955
2003-06-30,64.62073517,0.0105955845243501,-0.6743028214851041
2003-07-31,65.78562164,0.0178659611937659,-0.666470232021213
2003-08-31,67.14255524,0.0204167508694252,-0.6573463353220268
2003-09-30,66.41027069,-0.0109663256260699,-0.6622701492718104
2003-10-31,69.96498871,0.0521432320541856,-0.6383685523114165
2003-11-30,70.72910309,0.0108621745684196,-0.6332307175128068
2003-12-31,74.28768921,0.049088117476316,-0.6093031118038477
2004-01-31,75.75631714,0.0195765878138001,-0.5994281927047408
2004-02-29,76.78439331,0.013479571894071,-0.5925155031125786
2004-03-31,75.76732635,-0.0133342584662017,-0.5993541677894614
2004-04-30,74.33377838,-0.0191016789786973,-0.6089932124646087
2004-05-31,75.60655212,0.016977477735006,-0.6004351989220174
2004-06-30,77.00537872,0.018332325236555,-0.5910296175446574
2004-07-31,74.52439117,-0.0327488028631011,-0.6077115495995254
2004-08-31,74.70597076,0.0024335487398614,-0.6064906251402589
2004-09-30,75.45573425,0.009986164191349,-0.6014492844058401
2004-10-31,76.4280014,0.0128029565064782,-0.5949118495301673
2004-11-30,79.8303833,0.0435550356041458,-0.5720345466269292
2004-12-31,82.23492432,0.0296759068041261,-0.5558666340073019
2005-01-31,80.39112091,-0.0226763482598126,-0.5682641985207368
2005-02-28,82.07162476,0.0206886050483285,-0.5569646452264673
2005-03-31,80.57028961,-0.0184623723951791,-0.5670594846640473
2005-04-30,79.06083679,-0.0189123242443862,-0.5772089065679457
2005-05-31,81.60850525,0.031715845490944,-0.5600786182083567
2005-06-30,81.7321701,0.0015141956939164,-0.5592471071331497
2005-07-31,84.85934448,0.0375474317840645,-0.5382202742774653
2005-08-31,84.06384277,-0.009418571880567,-0.5435691545956077
2005-09-30,84.73848724,0.0079933501164441,-0.5390329072413103
2005-10-31,82.73432922,-0.0239352719185754,-0.5525086814010228
2005-11-30,86.37073517,0.0430142837849434,-0.5280578223139558
2005-12-31,86.20545959,-0.0019153931486224,-0.529169120109823
2006-01-31,88.27561951,0.0237304477701849,-0.5152495552461658
2006-02-28,88.7809906,0.0057085975170121,-0.5118514865271694
2006-03-31,90.24624634,0.0163694472853839,-0.5019992417234075
2006-04-30,91.38622284,0.0125527277588775,-0.49433414460627517
2006-05-31,88.63357544,-0.0305839911760017,-0.5128426925019747
2006-06-30,88.86476135,0.0026049375437624,-0.5112882197104193
2006-07-31,89.26273346,0.0044684036297084,-0.5086122918530817
2006-08-31,91.21066284,0.021587725047456,-0.49551459389613667
2006-09-30,93.67350006,0.0266435250305425,-0.47895470299050114
2006-10-31,96.62577057,0.0310301493451969,-0.4591039076669169
2006-11-30,98.54723358,0.0196904802448321,-0.4461841671471541
2006-12-31,99.86495209,0.0132828321975129,-0.437323949105648
2007-01-31,101.3668976,0.0149277900412139,-0.42722500566357624
2007-02-28,99.3783493,-0.0198123081562355,-0.44059582150198034
2007-03-31,100.5300446,0.0115223580115531,-0.4328519282516854
2007-04-30,104.983078,0.0433425411988936,-0.4029101413141177
2007-05-31,108.5440979,0.0333573474025747,-0.3789661710923273
2007-06-30,106.9571152,-0.0147285610676091,-0.38963689677720664
2007-07-31,103.608284,-0.0318106735811491,-0.41215412969988785
2007-08-31,104.9378433,0.0127509182849196,-0.4032142952756813
2007-09-30,109.0004196,0.037983525459496,-0.37589790595953293
2007-10-31,110.4791946,0.0134754873042046,-0.36595475889519663
2007-11-30,106.2000809,-0.0395023484894299,-0.39472712576920804
2007-12-31,105.0041962,-0.0113245574092779,-0.402768144480026
2008-01-31,98.65550232,-0.0623663060769157,-0.4454561780992662
2008-02-29,96.10604095,-0.026181832008822,-0.4625985218207616
2008-03-31,95.24661255,-0.0089827254879004,-0.46837723932171155
2008-04-30,99.78630066,0.0465614563645644,-0.43785279408565536
2008-05-31,101.2947083,0.0150032660235428,-0.42771039987592874
2008-06-30,92.82891083,-0.0872760415926841,-0.4846336432774579
2008-07-31,91.99477386,-0.0090263608243397,-0.49024230352970044
2008-08-31,93.41641998,0.0153353630010641,-0.48068328579907665
2008-09-30,84.61907959,-0.0989073643136952,-0.539835793295346
2008-10-31,70.64112091,-0.1805473441616616,-0.6338223015974586
2008-11-30,65.7240448,-0.0721475868639487,-0.6668842690287883
2008-12-31,66.36792755,0.0097490837381979,-0.6625548606499346
2009-01-31,60.91814804,-0.0856827932697212,-0.6991986767383435
2009-02-28,54.37254715,-0.1136717491898862,-0.7432106949789282
2009-03-31,58.90234375,0.0800215033799238,-0.712752759346171
2009-04-30,64.7540741,0.0947157371773252,-0.6734062627859165
2009-05-31,68.53918457,0.0568090001717767,-0.6479555281860151
2009-06-30,68.49432373,-0.0006547426561445,-0.6482571683473308
2009-07-31,73.6043396,0.0719531093739735,-0.6138978917187008
2009-08-31,76.32331085,0.0362744214042125,-0.5956157791576605
2009-09-30,79.02949524,0.0348427328974425,-0.5774196442669697
2009-10-31,77.51013184,-0.0194124790210317,-0.5876357039990926
2009-11-30,82.28526306,0.0597833667459219,-0.5555281609503098
2009-12-31,83.85701752,0.0189211481411897,-0.5449598285503122
2010-01-31,80.80944824,-0.0370192837666909,-0.5654514040366395
2010-02-28,83.33026123,0.0307178709203883,-0.5485016893868385
2010-03-31,88.40337372,0.0590983698941576,-0.5143905476905078
2010-04-30,89.77098083,0.0153516365733494,-0.5051948832919604
2010-05-31,82.63825226,-0.0827890939926954,-0.5531546940417386
2010-06-30,78.36248779,-0.0531273349636585,-0.5819045410013329
2010-07-31,83.71470642,0.0660693252182023,-0.5459167152952108
2010-08-31,79.94916534,-0.0460236665533431,-0.5712358671169822
2010-09-30,87.10899353,0.0857691343012749,-0.5230938410152757
2010-10-31,90.43674469,0.0374905188703191,-0.5007183483423567
2010-11-30,90.43674469,0.0,-0.5007183483423567
2010-12-31,96.48264313,0.0647124756074548,-0.46006628340687866
2011-01-31,98.73069763,0.0230327894074271,-0.44495057175220304
2011-02-28,102.1603622,0.0341478394998642,-0.4218898226856758
2011-03-31,102.1726074,0.0001198553521604,-0.4218074870873378
2011-04-30,105.1317062,0.0285502963971628,-0.40191077896994265
2011-05-31,103.9526825,-0.0112780892394059,-0.40983842586783986
2011-06-30,102.1990128,-0.0170138014151097,-0.4216299396068268
2011-07-31,100.1545944,-0.0202070819849451,-0.43537642085802136
2011-08-31,94.64852142,-0.0565446802665885,-0.4723987490601539
2011-09-30,88.07794952,-0.0719480435824619,-0.5165786700748422
2011-10-31,97.69136047,0.1035909135699544,-0.45193897920520265
2011-11-30,97.29441071,-0.0040715823106118,-0.45460803287518836
2011-12-31,98.31096649,0.0103940387180587,-0.44777280532560093
2012-01-31,102.8701172,0.0453316120691589,-0.4171174953575508
2012-02-29,107.3352203,0.0424896427122254,-0.38709455286750055
2012-03-31,110.7875061,0.031657169968331,-0.3638817007314285
2012-04-30,110.0479507,-0.006697820861456,-0.3688544032077512
2012-05-31,103.4389343,-0.061934754443766,-0.41329282150384805
2012-06-30,107.6365967,0.0397792761107425,-0.3850681256781579
2012-07-31,108.909874,0.011759988237971,-0.3765067262444502
2012-08-31,111.6383896,0.0247442874584127,-0.35816043835201505
2012-09-30,114.4685211,0.0250348766779069,-0.339130894495843
2012-10-31,112.385376,-0.0183660380712833,-0.35313777051528594
2012-11-30,113.0214157,0.0056434979914152,-0.3488610980831333
2012-12-31,114.0312424,0.0088951467635007,-0.34207111624844355
2013-01-31,119.868515,0.0499229667331597,-0.30282183226918985
2013-02-28,121.3979187,0.0126783006053887,-0.2925382624834955
2013-03-31,126.0074997,0.0372676922818486,-0.2615438638846753
2013-04-30,128.428421,0.0190302875054557,-0.24526581176918502
2013-05-31,131.4606323,0.0233357185377727,-0.22487750192756448
2013-06-30,129.7062683,-0.0134350132760889,-0.23667368407588124
2013-07-31,136.4091339,0.0503862878677559,-0.19160423239237237
2013-08-31,132.3179321,-0.030451104113327,-0.21911309693719994
2013-09-30,136.505249,0.0311554649678367,-0.1909579633018053
2013-10-31,142.8264313,0.0452670578169938,-0.1484549150156362
2013-11-30,147.0594635,0.0292068926754884,-0.11999239590848937
2013-12-31,150.8721771,0.0255959504614962,-0.09435606040173877
2014-01-31,145.554184,-0.0358845531382838,-0.13011375679262024
2014-02-28,152.1792603,0.0445107541314584,-0.08556735320630773
2014-03-31,153.4416046,0.0082608985429919,-0.07707946625885012
2014-04-30,154.5082703,0.0069275557667189,-0.06990730421690113
2014-05-31,158.0938263,0.0229410697621297,-0.0457983555158388
2014-06-30,161.3577118,0.0204350187143598,-0.02385228966562155
2014-07-31,159.1894226,-0.0135288825832668,-0.038431666780877206
2014-08-31,165.4715576,0.0387044923979189,0.0038088310521362957
2014-09-30,163.1886902,-0.0138921827625946,-0.011540959339626636
2014-10-31,167.0319214,0.023277800374915,0.014300573702144865
2014-11-30,171.6206818,0.0271017628430847,0.0451549765018966
2014-12-31,171.1853333,-0.0025399130404109,0.042227733236532866
2015-01-31,166.1132202,-0.0300771847969736,0.008123311346626196
2015-02-28,175.4496155,0.0546823052551204,0.07090037446892561
2015-03-31,172.6940155,-0.0158305785437748,0.052371973562442185
2015-04-30,174.3922577,0.0097857845919255,0.06379079789032294
2015-05-31,176.6342621,0.0127741624112784,0.07886582922916031
2015-06-30,173.0464325,-0.0205213245389144,0.054741593050851335
2015-07-31,176.9554291,0.0223379334294779,0.08102532659232356
2015-08-31,166.1699829,-0.0628866300628088,0.008504978519704505
2015-09-30,161.9299927,-0.025847159802284,-0.02000432553936107
2015-10-31,175.7036743,0.0816348093208185,0.07260864246871514
2015-11-30,176.3459473,0.0036487680893184,0.07692722703665324
2015-12-31,173.2981873,-0.0174339386435864,0.05643436916659067
2016-01-31,164.6703033,-0.0510684236769609,-0.0015787291519731583
2016-02-29,164.5342865,-0.0008263360351223,-0.002493293602697813
2016-03-31,175.6018066,0.0650999922443533,0.07192369342494205
2016-04-30,176.2939148,0.0039336033395098,0.07657736529323382
2016-05-31,179.2929077,0.0168682516926601,0.0967423176690857
2016-06-30,179.9161987,0.0034703553692727,0.10093326901521828
2016-07-31,186.477951,0.0358218271892134,0.14505388785084034
2016-08-31,186.7012634,0.0011968106370252,0.14655541988545676
2016-09-30,186.7121429,5.827053779761116e-05,0.14662857264262846
2016-10-31,183.4750214,-0.0174895530002068,0.12486246546633391
2016-11-30,190.2339783,0.0361762441982991,0.1703090698910845
2016-12-31,194.0903473,0.020068979120535,0.19623894029148184
2017-01-31,197.5635376,0.0177364835838051,0.21959235236250438
2017-02-28,205.3261414,0.0385394066317443,0.271787386215238
2017-03-31,205.5827942,0.0012491956788451,0.27351309603239987
2017-04-30,207.6234436,0.0098772274167657,0.28723423487431277
2017-05-31,210.5535889,0.0140141281218051,0.3069362623212021
2017-06-30,211.8958435,0.0063546498771902,0.3159614587747411
2017-07-31,216.251236,0.0203460117053371,0.3452467172829031
2017-08-31,216.8822021,0.0029134972774009,0.3494892752953869
2017-09-30,221.2522125,0.0199489251580473,0.3788728232184173
2017-10-31,226.4658051,0.0232906788268749,0.4139285402513233
2017-11-30,233.3879242,0.0301080172029504,0.4604722322992353
2017-12-31,236.2184601,0.01205507537155,0.4795044953038057
2018-01-31,249.5314331,0.0548278363855319,0.569019701067048
2018-02-28,240.4584656,-0.037037517201429,0.5080139022386639
2018-03-31,233.8673859,-0.0277931466392953,0.46369608866333173
2018-04-30,235.0760651,0.0051549152630494,0.47182313641515633
2018-05-31,240.7905273,0.0240182311584673,0.5102466545624005
2018-06-30,242.1752472,0.0057342518556469,0.5195573837866658
2018-07-31,251.1470184,0.0363768722744302,0.5798827480031133
2018-08-31,259.1636658,0.0314212780756752,0.6337859476522346
2018-09-30,260.7044983,0.005927799077992,0.6441463636377693
2018-10-31,242.6886902,-0.0716080637603315,0.5230097272859501
2018-11-30,247.1903992,0.0183793749124596,0.5532788044801455
2018-12-31,225.4256592,-0.0921684530057298,0.4069346949049613
2019-01-31,243.4745026,0.0770217912890771,0.5282934575749927
2019-02-28,251.3668823,0.031901329458952,0.5813610926409646
2019-03-31,255.9167633,0.0179386938657142,0.6119540739317152
2019-04-30,266.3716125,0.0400401250540376,0.6822515181886569
2019-05-31,249.3847809,-0.0658953647745486,0.5680336251650966
2019-06-30,266.7385864,0.0672720931084658,0.6847190169335455
2019-07-31,270.7714844,0.0150061325265715,0.7118358520906642
2019-08-31,266.2378235,-0.0168852515196507,0.6813519332601919
2019-09-30,271.4183044,0.0192712068445635,0.7161850102683139
2019-10-31,277.4179077,0.0218638718235499,0.7565257909412205
2019-11-30,287.4599609,0.035558522791538,0.8240476328681459
2019-12-31,295.8122559,0.0286413983771014,0.8802076961027293
2020-01-31,295.6927795,-0.0004039742503429,0.8794043477800176
2020-02-29,272.2839661,-0.0824754935019216,0.7220056399050492
2020-03-31,238.2835999,-0.1333839542263213,0.49339030534239464
2020-04-30,268.5416565,0.1195444866638677,0.6968426944176845
2020-05-31,281.3364258,0.046545150880993,0.7828735461727895
2020-06-30,286.3256836,0.0175787187301263,0.816420856647532
2020-07-31,303.1880798,0.0572234215739211,0.92980205748857
2020-08-31,324.3496399,0.0674687310864312,1.0720904409039587
2020-09-30,312.2048645,-0.0381624801199604,0.9904300883381295
2020-10-31,304.4203796,-0.0252500155058692,0.9380879279818851
2020-11-30,337.5344238,0.1032579277435674,1.1607437149511897
2020-12-31,350.0393982,0.0363782128783194,1.244826012457545
2021-01-31,346.4723206,-0.0102427818231927,1.2208413108182152
2021-02-28,356.1062622,0.027426243027925,1.2856190478897964
2021-03-31,372.2731934,0.0443987999615504,1.394324006048142
2021-04-30,391.9702454,0.0515579567173789,1.5267651717223518
2021-05-31,394.5440674,0.006544906165721,1.544071314078981
2021-06-30,403.3926392,0.0221795399688486,1.603568296863204
2021-07-31,413.240509,0.0241193912579351,1.6697844674718738
2021-08-31,425.5384827,0.0293256153417296,1.752474911313865
2021-09-30,405.7059937,-0.0477266412242629,1.6191230797107934
2021-10-31,434.1717834,0.0678115262446112,1.8105244310249347
2021-11-30,430.6832886,-0.0080672793222378,1.7870681129038064
2021-12-31,450.6014404,0.0452102338696835,1.920995933293774
2022-01-31,426.8361511,-0.0541830061081851,1.7612003142601835
2022-02-28,414.2372131,-0.029961430273345,1.6764862141513397
2022-03-31,429.8085327,0.0369010484953191,1.7811863347028654
2022-04-30,392.0846558,-0.0918620615853296,1.5275344567270952
2022-05-31,392.9696655,0.0022546467190744,1.533485180535967
2022-06-30,360.5652466,-0.0860594923371591,1.315600848803919
2022-07-31,393.7687683,0.0880909249975578,1.5388582742519972
2022-08-31,377.702301,-0.0416575326912171,1.4308288261153634
2022-09-30,342.7852478,-0.0970021704612564,1.1960497724926995
2022-10-31,370.6453247,0.0781414558613695,1.3833783666604527
2022-11-30,391.2500305,0.0541012125730482,1.5219225129888552
2022-12-31,368.7029419,-0.0593555354855537,1.3703179633971858
2023-01-31,391.88974,0.0609892403908043,1.5262238608186152
2023-02-28,382.0365601,-0.0254642136198732,1.459971985586032
2023-03-31,396.2016296,0.0364069362351875,1.5552166098291016
2023-04-30,402.5309143,0.0158486522932994,1.5977741379075137
2023-05-31,404.3890381,0.0046054805777844,1.6102679914059455
2023-06-30,430.5934448,0.0627869812039083,1.7864640114575288
2023-07-31,444.6881714,0.0322089367021574,1.881235656511991
2023-08-31,437.4611206,-0.0163854634586009,1.8326416317645964
2023-09-30,416.7103271,-0.0485965134700769,1.6931152051803122
2023-10-31,407.6641846,-0.0219475626491139,1.6322897751842391
2023-11-30,444.9017334,0.0874096754312914,1.8826716277539677
2023-12-31,465.2138672,0.0446437953537399,2.019248546868692
2024-01-31,472.6231079,0.0158010295031498,2.0690675997436503
2024-02-29,497.2878418,0.0508707581826133,2.2349110015258153
2024-03-31,513.5501099,0.0321785926120252,2.3442569962295163
2024-04-30,492.8439636,-0.041154989521555,2.205030773310842
2024-05-31,517.7718506,0.0493420822880761,2.3726435923293923
2024-06-30,536.0388794,0.0346719922553138,2.495469413557684
2024-07-31,542.5298462,0.0120364053039452,2.5391140772030143
2024-08-31,555.2063599,0.0230967643401278,2.624349789182305
2024-09-30,566.8682861,0.0207871128164613,2.7027635081456602
2024-10-31,561.8098145,-0.0089635928370732,2.668750810446843
2024-11-30,595.312439,0.057922991030253,2.894019375607018
2024-12-31,580.9891357,-0.0243543179223779,2.797710801849013
2025-01-31,596.5924072,0.0265020878490007,2.902625764036815
2025-02-28,589.0187378,-0.0127761491657532,2.851701107709204
2025-03-31,556.1991577,-0.0573315686333906,2.631025270259919
2025-04-30,551.3768311,-0.0087079480255116,2.59860038981762
2025-05-31,586.0280762,0.0609492206434936,2.8315921742281374
2025-06-30,616.1417847,0.0501094069826244,3.0340739799579173
2025-07-31,630.3324585,0.0227702850833706,3.1294907651587924
2025-08-31,643.2666016,0.0203118676684104,3.216458753523804
2025-09-30,666.1799927,0.0350006335684396,3.370526287428526
2025-10-31,682.0599976,0.023557733658361,3.4773019795406332
2025-11-30,660.0800171,-0.032756561292552,3.329510612643881
